Energy,run,Resistance,collimatore131x,collimatore131y,collimatore386x,collimatore386y
20,20895,340,-5,5,-5,5
20,20896,340,-5,5,-5,5
20,20897,340,-5,5,-5,5
20,20898,340,-5,5,-5,5
20,20899,340,-5,5,-5,5
30,20541,340,-5,5,-2,2
40,20530,340,-5,5,-2,2
60,20528,340,-5,5,-2,2
80,20526,340,-5,5,-2,2
100,20521,340,-5,5,-2,2
120,20474,340,-3,3,-2,2
150,20535,340,-3,3,-3,3
175,20539,340,-3,3,-3,3
200,20434,340,-3,3,-2,2
225,20513,340,-3,3,-2,2
225,20514,340,-3,3,-2,2
225,20515,340,-3,3,-2,2
225,20517,340,-3,3,-2,2
225,20518,340,-3,3,-2,2
225,20615,340,-3,3,-2,2
225,20617,340,-3,3,-2,2
250,20481,340,-3,3,-2,2
250,20482,340,-3,3,-2,2
275,20636,340,-3,3,-3,3
275,20637,340,-3,3,-3,3
275,20638,340,-3,3,-3,3
275,20639,340,-3,3,-3,3
275,20652,340,-3,3,-3,3
275,20653,340,-3,3,-3,3
275,20654,340,-3,3,-3,3
275,20655,340,-3,3,-3,3
275,20656,340,-3,3,-3,3
275,20657,340,-3,3,-3,3
275,20658,340,-3,3,-3,3
275,20659,340,-3,3,-3,3
20,20753,400,-5,5,-5,5
40,20841,400,-8,8,-8,8
40,20842,400,-8,8,-8,8
40,20843,400,-8,8,-8,8
60,20847,400,-10,10,-8,8
60,20848,400,-10,10,-8,8
60,20849,400,-10,10,-8,8
80,20909,400,-10,10,-8,8
80,20911,400,-10,10,-8,8
80,20912,400,-10,10,-8,8
80,20913,400,-10,10,-8,8
80,20914,400,-10,10,-8,8
80,20915,400,-10,10,-8,8
80,20917,400,-10,10,-8,8
80,20918,400,-10,10,-8,8
80,20919,400,-10,10,-8,8
80,20920,400,-10,10,-8,8
100,20769,400,-15,15,-8,8
100,20770,400,-15,15,-8,8
100,20771,400,-15,15,-8,8
100,20772,400,-15,15,-8,8
150,20780,400,-8,8,-8,8
150,20781,400,-8,8,-8,8
150,20782,400,-8,8,-8,8
150,20783,400,-8,8,-8,8
150,20786,400,-8,8,-8,8
150,20787,400,-8,8,-8,8
150,20788,400,-8,8,-8,8
150,20789,400,-8,8,-8,8
150,20799,400,-8,8,-8,8
150,20800,400,-8,8,-8,8
150,20801,400,-8,8,-8,8
200,20700,400,-3,3,-2,2
200,20701,400,-3,3,-2,2
200,20702,400,-3,3,-2,2
225,20676,400,-3,3,-2,2
225,20677,400,-3,3,-2,2
225,20678,400,-3,3,-2,2
225,20679,400,-3,3,-2,2
225,20680,400,-3,3,-2,2
225,20681,400,-3,3,-2,2
250,20683,400,-3,3,-2,2
250,20684,400,-3,3,-2,2
250,20686,400,-3,3,-2,2
250,20687,400,-3,3,-2,2
250,20688,400,-3,3,-2,2
250,20689,400,-3,3,-2,2
250,20690,400,-3,3,-2,2
250,20691,400,-3,3,-2,2
250,20692,400,-3,3,-2,2
250,20693,400,-3,3,-2,2
250,20694,400,-3,3,-2,2
250,20695,400,-3,3,-2,2
250,20696,400,-3,3,-2,2
250,20699,400,-3,3,-2,2
30,21045,500,-5,5,-2,2
30,21046,500,-5,5,-2,2
30,21047,500,-5,5,-2,2
40,21090,500,-10,10,-10,10
40,21091,500,-10,10,-10,10
40,21092,500,-10,10,-10,10
40,21093,500,-10,10,-10,10
40,21094,500,-10,10,-10,10
40,21095,500,-10,10,-10,10
40,21096,500,-10,10,-10,10
40,21097,500,-10,10,-10,10
40,21098,500,-10,10,-10,10
40,21099,500,-10,10,-10,10
50,21033,500,-15,15,-15,15
50,21034,500,-15,15,-15,15
50,21035,500,-15,15,-15,15
50,21036,500,-15,15,-15,15
50,21037,500,-15,15,-15,15
60,21081,500,-3,3,-3,3
60,21082,500,-3,3,-3,3
60,21116,500,-5,5,-2,2
80,21119,500,-5,5,-2,2
100,21056,500,-3,3,-3,3
100,21057,500,-3,3,-3,3
100,21058,500,-3,3,-3,3
150,20938,500,-10,-10,-8,8
150,20950,500,-10,-10,-8,8
150,20951,500,-10,-10,-8,8
150,20953,500,-10,-10,-8,8
150,20954,500,-10,-10,-8,8
