number_run,collimatore131x,collimatore131y,collimatore386x,collimatore386y
20275,-10,10,-6,6
20278,-20,20,-15,15
20282,-3,3,-3,3
20285,-3,3,-3,3
20327,-3,3,-3,3
20334,-3,3,-3,3
20336,-3,3,-3,3
20337,-3,3,-3,3
20339,-3,3,-3,3
20340,-3,3,-3,3
20345,-10,10,-6,6
20346,-10,10,-6,6
20347,-10,10,-6,6
20348,-10,10,-6,6
20349,-10,10,-6,6
20350,-3,3,-3,3
20351,-3,3,-3,3
20352,-3,3,-3,3
20353,-3,3,-3,3
20354,-3,3,-3,3
20361,-3,3,-3,3
20363,-3,3,-3,3
20368,-20,20,-15,15
20427,-3,3,-3,3
20428,-3,3,-3,3
20429,-3,3,-2,2
20434,-3,3,-2,2
20437,-3,3,-2,2
20438,-3,3,-2,2
20439,-3,3,-2,2
20445,-3,3,-2,2
20449,-3,3,-2,2
20450,-3,3,-2,2
20453,-3,3,-2,2
20455,-3,3,-2,2
20460,-3,3,-2,2
20462,-3,3,-2,2
20467,-3,3,-2,2
20474,-3,3,-2,2
20475,-3,3,-2,2
20476,-3,3,-2,2
20477,-3,3,-2,2
20478,-3,3,-2,2
20481,-3,3,-2,2
20482,-3,3,-2,2
20491,-3,3,-2,2
20496,-3,3,-2,2
20497,-3,3,-2,2
20498,-3,3,-2,2
20499,-3,3,-2,2
20500,-3,3,-2,2
20513,-3,3,-2,2
20514,-3,3,-2,2
20515,-3,3,-2,2
20516,-3,3,-2,2
20517,-3,3,-2,2
20518,-3,3,-2,2
20521,-5,5,-2,2
20526,-5,5,-2,2
20528,-5,5,-2,2
20530,-5,5,-2,2
20535,-3,3,-3,3
20539,-3,3,-3,3
20541,-5,5,-2,2
20552,-5,5,-2,2
20553,-5,5,-2,2
20556,-3,3,-2,2
20558,-3,3,-2,2
20559,-3,3,-2,2
20560,-3,3,-2,2
20561,-3,3,-2,2
20562,-3,3,-2,2
20563,-3,3,-2,2
20564,-3,3,-2,2
20565,-3,3,-2,2
20566,-3,3,-2,2
20567,-3,3,-2,2
20585,-3,3,-2,2
20586,-3,3,-2,2
20587,-3,3,-2,2
20588,-3,3,-2,2
20598,-3,3,-2,2
20592,-3,3,-2,2
20590,-3,3,-2,2
20589,-3,3,-2,2
20599,-5,5,-2,2
20613,-5,5,-2,2
20615,-3,3,-2,2
20616,-3,3,-2,2
20617,-3,3,-2,2
20631,-3,3,-3,3
20636,-3,3,-3,3
20637,-3,3,-3,3
20638,-3,3,-3,3
20639,-3,3,-3,3
20649,-3,3,-2,2
20652,-3,3,-3,3
20653,-3,3,-3,3
20654,-3,3,-3,3
20655,-3,3,-3,3
20656,-3,3,-3,3
20657,-3,3,-3,3
20658,-3,3,-3,3
20659,-3,3,-3,3
20663,-3,3,-2,2
20666,-3,3,-2,2
20667,-3,3,-2,2
20676,-3,3,-2,2
20677,-3,3,-2,2
20678,-3,3,-2,2
20679,-3,3,-2,2
20680,-3,3,-2,2
20681,-3,3,-2,2
20683,-3,3,-2,2
20684,-3,3,-2,2
20686,-3,3,-2,2
20687,-3,3,-2,2
20688,-3,3,-2,2
20689,-3,3,-2,2
20690,-3,3,-2,2
20691,-3,3,-2,2
20692,-3,3,-2,2
20693,-3,3,-2,2
20694,-3,3,-2,2
20695,-3,3,-2,2
20696,-3,3,-2,2
20699,-3,3,-2,2
20700,-3,3,-2,2
20701,-3,3,-2,2
20702,-3,3,-2,2
20707,-3,3,-2,2
20708,-3,3,-2,2
20711,-3,3,-2,2
20712,-3,3,-2,2
20714,-3,3,-2,2
20723,-3,3,-2,2
20724,-3,3,-2,2
20725,-3,3,-2,2
20732,-3,3,-2,2
20733,-3,3,-2,2
20734,-3,3,-2,2
20735,-3,3,-2,2
20753,-5,5,-5,5
20769,-15,15,-8,8
20770,-15,15,-8,8
20771,-15,15,-8,8
20772,-15,15,-8,8
20780,-8,8,-8,8
20781,-8,8,-8,8
20782,-8,8,-8,8
20783,-8,8,-8,8
20786,-8,8,-8,8
20787,-8,8,-8,8
20788,-8,8,-8,8
20789,-8,8,-8,8
20799,-8,8,-8,8
20800,-8,8,-8,8
20801,-8,8,-8,8
20841,-8,8,-8,8
20842,-8,8,-8,8
20843,-8,8,-8,8
20847,-10,10,-8,8
20848,-10,10,-8,8
20849,-10,10,-8,8
20861,-15,15,-8,8
20895,-5,5,-5,5
20896,-5,5,-5,5
20897,-5,5,-5,5
20898,-5,5,-5,5
20899,-5,5,-5,5
20909,-10,10,-8,8
20911,-10,10,-8,8
20912,-10,10,-8,8
20913,-10,10,-8,8
20914,-10,10,-8,8
20915,-10,10,-8,8
20917,-10,10,-8,8
20918,-10,10,-8,8
20919,-10,10,-8,8
20920,-10,10,-8,8
20921,-8,8,-8,8
20922,-8,8,-8,8
20923,-8,8,-8,8
20924,-8,8,-8,8
20932,-15,15,-8,8
20933,-15,15,-8,8
20934,-15,15,-8,8
20935,-15,15,-8,8
20936,-15,15,-8,8
20938,-10,-10,-8,8
20950,-10,-10,-8,8
20951,-10,-10,-8,8
20953,-10,-10,-8,8
20954,-10,-10,-8,8
20956,-8,8,-8,8
20959,-5,5,-5,5
20960,-5,5,-5,5
20961,-5,5,-5,5
20964,-5,5,-5,5
20965,-5,5,-5,5
20966,-5,5,-5,5
20967,-5,5,-5,5
20969,-15,15,-15,15
20972,-15,15,-15,15
20978,-15,15,-15,15
20979,-15,15,-15,15
20980,-15,15,-15,15
20981,-15,15,-15,15
20982,-15,15,-15,15
20984,-15,15,-15,15
20985,-15,15,-15,15
20987,-15,15,-15,15
20988,-15,15,-15,15
20989,-15,15,-15,15
20990,-15,15,-15,15
20993,-15,15,-15,15
20994,-15,15,-15,15
20995,-15,15,-15,15
20996,-15,15,-15,15
20997,-15,15,-15,15
21000,-15,15,-15,15
21001,-15,15,-15,15
21002,-15,15,-15,15
21003,-15,15,-15,15
21004,-15,15,-15,15
21005,-15,15,-15,15
21006,-15,15,-15,15
21007,-15,15,-15,15
21008,-15,15,-15,15
21009,-15,15,-15,15
21010,-15,15,-15,15
21011,-15,15,-15,15
21012,-15,15,-15,15
21013,-15,15,-15,15
21014,-15,15,-15,15
21016,-15,15,-15,15
21017,-15,15,-15,15
21018,-15,15,-15,15
21019,-15,15,-15,15
21020,-15,15,-15,15
21021,-15,15,-15,15
21033,-15,15,-15,15
21034,-15,15,-15,15
21035,-15,15,-15,15
21036,-15,15,-15,15
21037,-15,15,-15,15
21045,-5,5,-2,2
21046,-5,5,-2,2
21047,-5,5,-2,2
21056,-3,3,-3,3
21057,-3,3,-3,3
21058,-3,3,-3,3
21081,-3,3,-3,3
21082,-3,3,-3,3
21090,-10,10,-10,10
21091,-10,10,-10,10
21092,-10,10,-10,10
21093,-10,10,-10,10
21094,-10,10,-10,10
21095,-10,10,-10,10
21096,-10,10,-10,10
21097,-10,10,-10,10
21098,-10,10,-10,10
21099,-10,10,-10,10
21108,-3,3,-3,3
21109,-3,3,-3,3
21110,-3,3,-3,3
21116,-5,5,-2,2
21119,-5,5,-2,2
21122,-3,3,-3,3
21123,-3,3,-3,3
21129,-5,5,-2,2
21134,-5,5,-2,2
21135,-5,5,-2,2
21138,-5,5,-2,2
21139,-5,5,-2,2
21150,-5,5,-2,2
21151,-5,5,-2,2
21154,-5,5,-3,3
21155,-5,5,-3,3
21156,-5,5,-3,3
21162,-5,5,-2,2
21163,-5,5,-2,2
21167,-5,5,-2,2
21168,-5,5,-2,2
21169,-5,5,-2,2
21170,-5,5,-2,2
21171,-5,5,-2,2
21174,-5,5,-2,2
21178,-3,3,-3,3
21179,-3,3,-3,3
