Timestamp (UTC_TIME),XCSH.022.068 _JAW1_REF,XCSH.022.068 _JAW2_REF,XCHV.022.130_JAW1,XCHV.022.130_JAW2,XCHV.022.131 _JAW1_REF,XCHV.022.131 _JAW2_REF,XCSV.022.179 _JAW1_REF,XCSV.022.179 _JAW2_REF,XCHV.022.196 _JAW1_REF,XCHV.022.196 _JAW2_REF,XCHV.022.197 _JAW1_REF,XCHV.022.197 _JAW2_REF,XCSV.022.213 _JAW1_REF,XCSV.022.213 _JAW2_REF,XCSV.022.386 _JAW1_REF,XCSV.022.386 _JAW2_REF,XCHV.022.452 _JAW1_REF,XCHV.022.452 _JAW2_REF,XCHV.022.453 _JAW1_REF,XCHV.022.453 _JAW2_REF,XCSH.022.694 _JAW1_REF,XCSH.022.694 _JAW2_REF
2026-06-03 22:06:02.02,-35,35,-25,25,-35,35,-35,35,-35,35,-25,25,-35,35,-8,8,-25,25,-25,25,-20,20
2026-06-04 16:42:59.59,-35,35,-15,15,-3,3,-15,15,-35,35,-25,25,-13,13,-3,3,-25,25,-10,10,-20,20
2026-06-04 17:03:47.47,-20,20,-15,15,-5,5,-15,15,-20,20,-12,12,-13,13,-4,4,-12,12,-10,10,-20,20
2026-06-04 17:04:01.01,-20,20,-15,15,-5,5,-15,15,-20,20,-12,12,-13,13,-4,4,-12,12,-10,10,-20,20
2026-06-04 17:05:27.27,-20,20,-15,15,-5,5,-15,15,-20,20,-12,12,-13,13,-4,4,-12,12,-10,10,-20,20
2026-06-04 17:07:05.05,-20,20,-15,15,-5,5,-15,15,-20,20,-12,12,-13,13,-4,4,-12,12,-10,10,-20,20
2026-06-04 17:07:33.33,-20,20,-15,15,-5,5,-15,15,-20,20,-12,12,-13,13,-4,4,-12,12,-10,10,-20,20
2026-06-04 17:08:09.09,-20,20,-15,15,-6,6,-15,15,-20,20,-12,12,-13,13,-4,4,-12,12,-10,10,-20,20
2026-06-04 17:08:31.31,-20,20,-15,15,-6,6,-15,15,-20,20,-12,12,-13,13,-4,4,-12,12,-10,10,-20,20
2026-06-04 17:09:01.01,-20,20,-15,15,-6,6,-15,15,-20,20,-12,12,-13,13,-4,4,-12,12,-10,10,-20,20
2026-06-04 17:09:23.23,-20,20,-15,15,-6,6,-15,15,-20,20,-12,12,-13,13,-4,4,-12,12,-10,10,-20,20
2026-06-04 17:15:41.41,-20,20,-15,15,-20,20,-20,20,-20,20,-12,12,-15,15,-15,15,-12,12,-10,10,-20,20
2026-06-04 17:18:46.46,-25,25,-15,15,-20,20,-20,20,-20,20,-15,15,-15,15,-15,15,-20,20,-10,10,-20,20
2026-06-04 17:24:50.50,-25,25,-15,15,-20,20,-20,20,-20,20,-15,15,-15,15,-15,15,-20,20,-10,10,-20,20
2026-06-04 17:51:10.10,-25,25,-20,20,-10,10,-15,15,-20,20,-15,15,-15,15,-6,6,-20,20,-10,10,-20,20
2026-06-04 17:53:08.08,-25,25,-20,20,-10,10,-15,15,-10,10,-12,12,-15,15,-6,6,-10,10,-10,10,-20,20
2026-06-04 17:57:18.18,-25,25,-10,10,-3,3,-15,15,-10,10,-12,12,-10,10,-3,3,-10,10,-8,8,-20,20
2026-06-04 18:10:40.40,-20,20,-15,15,-5,5,-15,15,-20,20,-10,10,-10,10,-5,5,-10,10,-10,10,-20,20
2026-06-04 18:57:46.46,-20,20,-15,15,-5,5,-15,15,-20,20,-10,10,-10,10,-5,5,-10,10,-10,10,-20,20
2026-06-05 00:24:45.45,-20,20,-15,15,-3,3,-15,15,-20,20,-10,10,-10,10,-3,3,-10,10,-10,10,-20,20
2026-06-05 01:33:34.34,-20,20,-15,15,-3,3,-15,15,-20,20,-10,10,-15,15,-3,3,-10,10,-15,15,-20,20
