number_run,timestamp_local,timestamp_utc,collimatore_timestamp_gva,collimatore_timestamp_utc,collimatore131x,collimatore131y,collimatore197x,collimatore197y
20248,2026-06-05 01:57:00+02:00,2026-06-04 23:57:00+00:00,2026-06-04 20:57:46.460000+02:00,2026-06-04 18:57:46.460000+00:00,-5,5,-10,10
20249,2026-06-05 02:27:00+02:00,2026-06-05 00:27:00+00:00,2026-06-05 02:24:45.450000+02:00,2026-06-05 00:24:45.450000+00:00,-3,3,-10,10
20250,2026-06-05 02:37:00+02:00,2026-06-05 00:37:00+00:00,2026-06-05 02:24:45.450000+02:00,2026-06-05 00:24:45.450000+00:00,-3,3,-10,10
20251,2026-06-05 02:43:00+02:00,2026-06-05 00:43:00+00:00,2026-06-05 02:24:45.450000+02:00,2026-06-05 00:24:45.450000+00:00,-3,3,-10,10
20252,2026-06-05 02:47:00+02:00,2026-06-05 00:47:00+00:00,2026-06-05 02:24:45.450000+02:00,2026-06-05 00:24:45.450000+00:00,-3,3,-10,10
20253,2026-06-05 02:51:00+02:00,2026-06-05 00:51:00+00:00,2026-06-05 02:24:45.450000+02:00,2026-06-05 00:24:45.450000+00:00,-3,3,-10,10
20254,2026-06-05 02:55:00+02:00,2026-06-05 00:55:00+00:00,2026-06-05 02:24:45.450000+02:00,2026-06-05 00:24:45.450000+00:00,-3,3,-10,10
20255,2026-06-05 02:58:00+02:00,2026-06-05 00:58:00+00:00,2026-06-05 02:24:45.450000+02:00,2026-06-05 00:24:45.450000+00:00,-3,3,-10,10
20256,2026-06-05 03:07:00+02:00,2026-06-05 01:07:00+00:00,2026-06-05 02:24:45.450000+02:00,2026-06-05 00:24:45.450000+00:00,-3,3,-10,10
20257,2026-06-05 03:11:00+02:00,2026-06-05 01:11:00+00:00,2026-06-05 02:24:45.450000+02:00,2026-06-05 00:24:45.450000+00:00,-3,3,-10,10
20258,2026-06-05 03:36:00+02:00,2026-06-05 01:36:00+00:00,2026-06-05 03:33:34.340000+02:00,2026-06-05 01:33:34.340000+00:00,-3,3,-10,10
20259,2026-06-05 03:41:00+02:00,2026-06-05 01:41:00+00:00,2026-06-05 03:33:34.340000+02:00,2026-06-05 01:33:34.340000+00:00,-3,3,-10,10
20260,2026-06-05 03:44:00+02:00,2026-06-05 01:44:00+00:00,2026-06-05 03:33:34.340000+02:00,2026-06-05 01:33:34.340000+00:00,-3,3,-10,10
20261,2026-06-05 04:09:00+02:00,2026-06-05 02:09:00+00:00,2026-06-05 04:05:11.110000+02:00,2026-06-05 02:05:11.110000+00:00,-6,6,-15,15
20262,2026-06-05 04:12:00+02:00,2026-06-05 02:12:00+00:00,2026-06-05 04:05:11.110000+02:00,2026-06-05 02:05:11.110000+00:00,-6,6,-15,15
20263,2026-06-05 04:14:00+02:00,2026-06-05 02:14:00+00:00,2026-06-05 04:05:11.110000+02:00,2026-06-05 02:05:11.110000+00:00,-6,6,-15,15
20264,2026-06-05 04:17:00+02:00,2026-06-05 02:17:00+00:00,2026-06-05 04:05:11.110000+02:00,2026-06-05 02:05:11.110000+00:00,-6,6,-15,15
20265,2026-06-05 04:18:00+02:00,2026-06-05 02:18:00+00:00,2026-06-05 04:05:11.110000+02:00,2026-06-05 02:05:11.110000+00:00,-6,6,-15,15
20266,2026-06-05 04:19:00+02:00,2026-06-05 02:19:00+00:00,2026-06-05 04:05:11.110000+02:00,2026-06-05 02:05:11.110000+00:00,-6,6,-15,15
20267,2026-06-05 04:22:00+02:00,2026-06-05 02:22:00+00:00,2026-06-05 04:05:11.110000+02:00,2026-06-05 02:05:11.110000+00:00,-6,6,-15,15
20268,2026-06-05 04:24:00+02:00,2026-06-05 02:24:00+00:00,2026-06-05 04:05:11.110000+02:00,2026-06-05 02:05:11.110000+00:00,-6,6,-15,15
20269,2026-06-05 04:26:00+02:00,2026-06-05 02:26:00+00:00,2026-06-05 04:05:11.110000+02:00,2026-06-05 02:05:11.110000+00:00,-6,6,-15,15
