numero_run,collimatore131x,collimatore131y,collimatore386x,collimatore386y
20275,-10,10,-6,6
20276,-20,20,-15,15
20277,-20,20,-15,15
20278,-20,20,-15,15
20279,-3,3,-3,3
20280,-3,3,-3,3
20281,-3,3,-3,3
20282,-3,3,-3,3
20283,-3,3,-3,3
20284,-3,3,-3,3
20285,-3,3,-3,3
20286,-3,3,-3,3
20287,-3,3,-3,3
20288,-3,3,-3,3
20290,-3,3,-3,3
20291,-3,3,-3,3
20292,-3,3,-3,3
20293,-3,3,-3,3
20294,-3,3,-3,3
20295,-3,3,-3,3
20296,-3,3,-3,3
20297,-3,3,-3,3
20298,-3,3,-3,3
20299,-3,3,-3,3
20300,-3,3,-3,3
20301,-3,3,-3,3
20302,-3,3,-3,3
20303,-3,3,-3,3
20304,-3,3,-3,3
20306,-3,3,-3,3
20307,-3,3,-3,3
20309,-3,3,-3,3
20310,-3,3,-3,3
20311,-3,3,-3,3
20312,-3,3,-3,3
20313,-3,3,-3,3
20314,-3,3,-3,3
20315,-3,3,-3,3
20316,-3,3,-3,3
20317,-3,3,-3,3
20318,-3,3,-3,3
20319,-3,3,-3,3
20322,-3,3,-3,3
20323,-3,3,-3,3
20324,-3,3,-3,3
20325,-3,3,-3,3
20326,-3,3,-3,3
20327,-3,3,-3,3
20328,-20,20,-15,15
20329,-20,20,-15,15
20330,-20,20,-15,15
20331,-20,20,-15,15
20332,-3,3,-3,3
20333,-3,3,-3,3
20334,-3,3,-3,3
20335,-3,3,-3,3
20336,-3,3,-3,3
20337,-3,3,-3,3
20338,-3,3,-3,3
20339,-3,3,-3,3
20340,-3,3,-3,3
20341,-10,10,-6,6
20342,-10,10,-6,6
20343,-10,10,-6,6
20344,-10,10,-6,6
20345,-10,10,-6,6
20346,-10,10,-6,6
20347,-10,10,-6,6
20348,-10,10,-6,6
20349,-10,10,-6,6
20350,-3,3,-3,3
20351,-3,3,-3,3
20352,-3,3,-3,3
20353,-3,3,-3,3
20354,-3,3,-3,3
20355,-3,3,-3,3
20356,-3,3,-3,3
20358,-3,3,-3,3
20359,-3,3,-3,3
20360,-3,3,-3,3
20361,-3,3,-3,3
20363,-3,3,-3,3
20364,-20,20,-15,15
20367,-20,20,-15,15
20368,-20,20,-15,15
20369,-20,20,-15,15
20370,-20,20,-15,15
20371,-3,3,-3,3
20372,-3,3,-3,3
20378,-3,3,-3,3
20379,-3,3,-3,3
20380,-3,3,-3,3
20381,-3,3,-3,3
20382,-3,3,-3,3
20383,-3,3,-3,3
20384,-3,3,-3,3
20385,-3,3,-3,3
20386,-3,3,-3,3
20387,-3,3,-3,3
20388,-3,3,-3,3
20389,-3,3,-3,3
20391,-3,3,-3,3
20392,-3,3,-3,3
20393,-3,3,-3,3
20394,-3,3,-2,2
20395,-3,3,-2,2
20396,-3,3,-2,2
20397,-3,3,-2,2
20398,-3,3,-2,2
20399,-3,3,-2,2
20400,-3,3,-2,2
20401,-3,3,-2,2
20402,-3,3,-2,2
20403,-3,3,-2,2
20404,-3,3,-2,2
20405,-3,3,-3,3
20406,-3,3,-3,3
20407,-3,3,-3,3
20408,-3,3,-3,3
20409,-3,3,-3,3
20410,-3,3,-3,3
20411,-3,3,-3,3
20412,-3,3,-3,3
20413,-3,3,-3,3
20414,-3,3,-3,3
20415,-3,3,-3,3
20416,-3,3,-3,3
20417,-3,3,-3,3
20418,-3,3,-3,3
20419,-3,3,-3,3
20420,-3,3,-3,3
20421,-3,3,-3,3
20423,-3,3,-3,3
20424,-3,3,-3,3
20425,-3,3,-3,3
20426,-3,3,-3,3
20427,-3,3,-3,3
20428,-3,3,-3,3
20429,-3,3,-2,2
20430,-3,3,-3,3
20431,-3,3,-3,3
20432,-3,3,-2,2
20433,-3,3,-2,2
20434,-3,3,-2,2
20435,-3,3,-2,2
20436,-3,3,-2,2
20437,-3,3,-2,2
20438,-3,3,-2,2
20439,-3,3,-2,2
20440,-3,3,-2,2
20441,-3,3,-2,2
20442,-3,3,-2,2
20443,-3,3,-2,2
20444,-3,3,-2,2
20445,-3,3,-2,2
20446,-3,3,-2,2
20447,-3,3,-2,2
20448,-3,3,-2,2
20449,-3,3,-2,2
20450,-3,3,-2,2
20451,-3,3,-2,2
20452,-3,3,-2,2
20453,-3,3,-2,2
20454,-3,3,-2,2
20455,-3,3,-2,2
20457,-3,3,-2,2
20459,-3,3,-2,2
20460,-3,3,-2,2
20461,-3,3,-2,2
20462,-3,3,-2,2
20463,-3,3,-2,2
20465,-3,3,-2,2
20466,-3,3,-2,2
20467,-3,3,-2,2
20468,-3,3,-2,2
20469,-3,3,-2,2
20470,-3,3,-2,2
20471,-3,3,-2,2
20472,-3,3,-2,2
20473,-3,3,-2,2
20474,-3,3,-2,2
20475,-3,3,-2,2
20476,-3,3,-2,2
20477,-3,3,-2,2
20478,-3,3,-2,2
20479,-3,3,-2,2
20481,-3,3,-2,2
20482,-3,3,-2,2
20483,-3,3,-2,2
20484,-3,3,-2,2
20485,-3,3,-2,2
20486,-3,3,-2,2
20488,-3,3,-2,2
20490,-3,3,-2,2
20491,-3,3,-2,2
20492,-3,3,-2,2
20494,-3,3,-2,2
20495,-3,3,-2,2
20496,-3,3,-2,2
20497,-3,3,-2,2
20498,-3,3,-2,2
20499,-3,3,-2,2
20500,-3,3,-2,2
20501,-3,3,-2,2
20502,-3,3,-2,2
20503,-3,3,-2,2
20504,-5,5,-2,2
20505,-3,3,-2,2
20506,-5,5,-2,2
20507,-5,5,-2,2
20508,-5,5,-2,2
20509,-3,3,-2,2
20510,-3,3,-2,2
20511,-3,3,-2,2
20512,-3,3,-2,2
20513,-3,3,-2,2
20514,-3,3,-2,2
20515,-3,3,-2,2
20516,-3,3,-2,2
20517,-3,3,-2,2
20518,-3,3,-2,2
20519,-5,5,-2,2
20520,-5,5,-2,2
20521,-5,5,-2,2
20522,-5,5,-2,2
20523,-5,5,-2,2
20524,-5,5,-2,2
20525,-5,5,-2,2
20526,-5,5,-2,2
20527,-5,5,-2,2
20528,-5,5,-2,2
20529,-5,5,-2,2
20530,-5,5,-2,2
20531,-3,3,-3,3
20532,-3,3,-3,3
20533,-3,3,-3,3
20534,-3,3,-3,3
20535,-3,3,-3,3
20536,-3,3,-3,3
20537,-3,3,-3,3
20538,-3,3,-3,3
20539,-3,3,-3,3
20540,-5,5,-2,2
20541,-5,5,-2,2
20543,-5,5,-2,2
20544,-5,5,-2,2
20545,-5,5,-2,2
20546,-5,5,-2,2
20547,-5,5,-2,2
20548,-5,5,-2,2
20549,-5,5,-2,2
20550,-5,5,-2,2
20551,-5,5,-2,2
20552,-5,5,-2,2
20553,-5,5,-2,2
20554,-3,3,-2,2
20556,-3,3,-2,2
20557,-3,3,-2,2
20558,-3,3,-2,2
20559,-3,3,-2,2
20560,-3,3,-2,2
20561,-3,3,-2,2
20562,-3,3,-2,2
20563,-3,3,-2,2
20564,-3,3,-2,2
20565,-3,3,-2,2
20566,-3,3,-2,2
20567,-3,3,-2,2
20568,-3,3,-2,2
20569,-3,3,-2,2
20570,-3,3,-2,2
20573,-5,5,-2,2
20574,-20,20,-15,15
20575,-3,3,-2,2
20576,-3,3,-2,2
20577,-3,3,-2,2
20578,-3,3,-2,2
20579,-5,5,-3,3
20580,-5,5,-3,3
20581,-5,5,-3,3
20582,-5,5,-3,3
20583,-5,5,-3,3
20584,-5,5,-3,3
20585,-3,3,-2,2
20586,-3,3,-2,2
20587,-3,3,-2,2
20588,-3,3,-2,2
20597,-3,3,-2,2
20598,-3,3,-2,2
20591,-3,3,-2,2
20592,-3,3,-2,2
20593,-3,3,-2,2
20590,-3,3,-2,2
20589,-3,3,-2,2
20599,-5,5,-2,2
20601,-5,5,-3,3
20602,-5,5,-3,3
20603,-5,5,-3,3
20604,-5,5,-3,3
20605,-5,5,-3,3
20606,-5,5,-2,2
20608,-5,5,-2,2
20609,-5,5,-2,2
20610,-5,5,-2,2
20611,-5,5,-2,2
20612,-5,5,-2,2
20613,-5,5,-2,2
20614,-3,3,-2,2
20615,-3,3,-2,2
20616,-3,3,-2,2
20617,-3,3,-2,2
20618,-3,3,-2,2
20619,-3,3,-2,2
20620,-3,3,-2,2
20621,-3,3,-2,2
20622,-3,3,-2,2
20623,-3,3,-2,2
20624,-3,3,-2,2
20625,-3,3,-2,2
20626,-3,3,-2,2
20627,-3,3,-3,3
20628,-3,3,-3,3
20630,-3,3,-3,3
20631,-3,3,-3,3
20632,-3,3,-3,3
20633,-10,10,-10,10
20634,-5,5,-2,2
20635,-3,3,-3,3
20636,-3,3,-3,3
20637,-3,3,-3,3
20638,-3,3,-3,3
20639,-3,3,-3,3
20640,-3,3,-2,2
20641,-3,3,-2,2
20642,-3,3,-2,2
20643,-3,3,-2,2
20644,-3,3,-2,2
20645,-3,3,-2,2
20646,-3,3,-2,2
20647,-3,3,-2,2
20648,-3,3,-2,2
20649,-3,3,-2,2
20650,-3,3,-3,3
20651,-3,3,-3,3
20652,-3,3,-3,3
20653,-3,3,-3,3
20654,-3,3,-3,3
20655,-3,3,-3,3
20656,-3,3,-3,3
20657,-3,3,-3,3
20658,-3,3,-3,3
20659,-3,3,-3,3
20660,-3,3,-2,2
20661,-3,3,-2,2
20662,-3,3,-2,2
20663,-3,3,-2,2
20665,-3,3,-2,2
20666,-3,3,-2,2
20667,-3,3,-2,2
20668,-3,3,-2,2
20669,-3,3,-2,2
20670,-5,5,-2,2
20673,-5,5,-2,2
20674,-3,3,-2,2
20675,-3,3,-2,2
20676,-3,3,-2,2
20677,-3,3,-2,2
20678,-3,3,-2,2
20679,-3,3,-2,2
20680,-3,3,-2,2
20681,-3,3,-2,2
20682,-3,3,-2,2
20683,-3,3,-2,2
20684,-3,3,-2,2
20686,-3,3,-2,2
20687,-3,3,-2,2
20688,-3,3,-2,2
20689,-3,3,-2,2
20690,-3,3,-2,2
20691,-3,3,-2,2
20692,-3,3,-2,2
20693,-3,3,-2,2
20694,-3,3,-2,2
20695,-3,3,-2,2
20696,-3,3,-2,2
20697,-3,3,-2,2
20699,-3,3,-2,2
20700,-3,3,-2,2
20701,-3,3,-2,2
20702,-3,3,-2,2
20703,-3,3,-2,2
20705,-3,3,-2,2
20706,-3,3,-2,2
20707,-3,3,-2,2
20708,-3,3,-2,2
20709,-3,3,-2,2
20710,-3,3,-2,2
20711,-3,3,-2,2
20712,-3,3,-2,2
20713,-3,3,-2,2
20714,-3,3,-2,2
20715,-3,3,-2,2
20716,-3,3,-2,2
20717,-3,3,-2,2
20718,-3,3,-2,2
20719,-3,3,-2,2
20720,-3,3,-2,2
20721,-3,3,-2,2
20722,-3,3,-2,2
20723,-3,3,-2,2
20724,-3,3,-2,2
20725,-3,3,-2,2
20726,-3,3,-2,2
20727,-3,3,-2,2
20728,-3,3,-2,2
20729,-3,3,-2,2
20730,-3,3,-2,2
20731,-3,3,-2,2
20732,-3,3,-2,2
20733,-3,3,-2,2
20734,-3,3,-2,2
20735,-3,3,-2,2
20738,-5,5,-5,5
20741,-5,5,-5,5
20742,-5,5,-5,5
20744,-5,5,-5,5
20745,-5,5,-5,5
20746,-5,5,-5,5
20747,-5,5,-5,5
20748,-5,5,-5,5
20750,-5,5,-5,5
20751,-5,5,-5,5
20752,-5,5,-5,5
20753,-5,5,-5,5
20754,-5,5,-2,2
20756,-5,5,-2,2
20757,-15,15,-8,8
20758,-15,15,-8,8
20760,-15,15,-8,8
20761,-15,15,-8,8
20762,-15,15,-8,8
20763,-15,15,-8,8
20764,-15,15,-8,8
20765,-15,15,-8,8
20766,-15,15,-8,8
20767,-15,15,-8,8
20768,-15,15,-8,8
20769,-15,15,-8,8
20770,-15,15,-8,8
20771,-15,15,-8,8
20772,-15,15,-8,8
20773,-20,20,-8,8
20774,-20,20,-8,8
20775,-20,20,-8,8
20776,-20,20,-8,8
20777,-20,20,-8,8
20778,-20,20,-8,8
20779,-20,20,-8,8
20780,-20,20,-8,8
20781,-20,20,-8,8
20782,-20,20,-8,8
20783,-20,20,-8,8
20784,-20,20,-8,8
20786,-20,20,-8,8
20787,-20,20,-8,8
20788,-20,20,-8,8
20789,-20,20,-8,8
20790,-20,20,-8,8
20791,-20,20,-8,8
20797,-10,10,-8,8
20798,-20,20,-8,8
20799,-20,20,-8,8
20800,-20,20,-8,8
20801,-20,20,-8,8
20804,-5,5,-2,2
20805,-10,10,-8,8
20806,-10,10,-8,8
20807,-10,10,-8,8
20808,-10,10,-8,8
20810,-15,15,-8,8
20811,-15,15,-8,8
20812,-15,15,-8,8
20813,-15,15,-8,8
20814,-15,15,-8,8
20815,-8,8,-15,15
20816,-8,8,-15,15
20818,-8,8,-15,15
20819,-8,8,-15,15
20820,-8,8,-15,15
20821,-8,8,-15,15
20822,-8,8,-15,15
20824,-8,8,-15,15
20825,-8,8,-15,15
20826,-8,8,-15,15
20827,-8,8,-15,15
20828,-8,8,-8,8
20829,-8,8,-8,8
20830,-8,8,-15,15
20831,-8,8,-15,15
20833,-8,8,-8,8
20834,-8,8,-8,8
20835,-8,8,-8,8
20836,-8,8,-8,8
20837,-8,8,-8,8
20838,-8,8,-8,8
20839,-8,8,-8,8
20840,-8,8,-8,8
20841,-8,8,-8,8
20842,-8,8,-8,8
20843,-8,8,-8,8
20844,-10,10,-8,8
20845,-10,10,-8,8
20846,-10,10,-8,8
20847,-10,10,-8,8
20848,-10,10,-8,8
20849,-10,10,-8,8
20850,-8,8,-15,15
20851,-8,8,-15,15
20852,-8,8,-15,15
20853,-8,8,-15,15
20854,-15,15,-8,8
20856,-15,15,-8,8
