Energy,Runs_dash_separated,Resistance
20,20895-20896-20897-20898-20899,340
30,20541,340
40,20530,340
60,20528,340
80,20526,340
100,20521,340
120,20474,340
150,20535,340
175,20539,340
200,20434,340
225,20513-20514-20515-20517-20518-20615-20617,340
250,20481-20482,340
275,20636-20637-20638-20639-20652-20653-20654-20655-20656-20657-20658-20659,340
20,20753,400
40,20841-20842-20843,400
60,20847-20848-20849,400
80,20909-20911-20912-20913-20914-20915-20917-20918-20919-20920,400
100,20769-20770-20771-20772,400
150,20780-20781-20782-20783-20786-20787-20788-20789-20799-20800-20801,400
200,20700-20701-20702,400
225,20676-20677-20678-20679-20680-20681,400
250,20683-20684-20686-20687-20688-20689-20690-20691-20692-20693-20694-20695-20696-20699,400
30,21045-21046-21047,500
40,21090-21091-21092-21093-21094-21095-21096-21097-21098-21099,500
50,21033-21034-21035-21036-21037,500
60,21081-21082-21116,500
80,21119,500
100,21056-21057-21058,500
150,20938-20950-20951-20953-20954,500

